id,ORG,PERSON,GPE,DATE,PERCENT,ORDINAL,LOC,CARDINAL,MONEY,PRODUCT,TIME,WORK_OF_ART,NORP,LAW,LANGUAGE,FAC,EVENT,QUANTITY
op0koy,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
op0vib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op0ucq,17,0,2,3,1,1,0,5,1,0,0,0,0,0,0,0,0,0
op0tr7,22,6,2,7,0,0,1,2,2,1,0,0,0,0,0,2,0,0
op0tpd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op0t35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op0ry2,5,0,0,1,6,0,0,14,7,0,0,0,0,0,0,0,0,0
op0q86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op0p1l,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
op0nmq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op0l3e,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op0khz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op0is4,29,7,1,7,1,1,0,0,2,0,0,2,0,0,0,1,0,0
op0haz,8,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
op0dhn,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
op0cml,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
op0awk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op0239,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
op00xw,11,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
oozv21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
oozua2,44,10,8,25,6,3,0,12,8,1,1,0,0,0,0,1,0,0
op3pgr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op3nz9,12,3,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0
op3mut,10,5,5,1,0,1,0,4,2,0,0,0,0,0,0,0,0,0
op3m1e,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op3k04,13,3,2,6,3,0,0,7,11,2,0,0,2,0,0,0,0,0
op3kc6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op3kbg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op3jqf,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
op3j5x,10,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0
op3iqh,4,0,2,6,0,0,0,1,2,0,0,0,0,0,0,0,0,0
op3ibr,66,50,0,34,0,16,0,35,4,0,5,3,0,2,0,0,2,0
op3hc7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op3gww,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op3fwi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op3ar7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
op35n9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op3599,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op33jd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op32vp,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op2zkt,6,1,13,10,0,4,0,9,1,0,0,0,0,0,0,0,0,0
op2zf9,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op2vc8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op2sn1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op2plt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op2osj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op2olx,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op2oda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op2nn1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
op2nme,4,0,0,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0
