id,ORG,GPE,DATE,NORP,PERSON,MONEY,CARDINAL,LOC,ORDINAL,TIME,QUANTITY,FAC,WORK_OF_ART,LAW,PRODUCT,PERCENT,EVENT,LANGUAGE
opj7dr,10,5,5,1,6,1,1,1,1,0,0,1,0,0,0,0,1,0
opj5l0,72,25,25,7,41,0,27,0,1,2,2,0,0,0,1,0,0,0
opj1fh,1,3,6,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0
opiyi8,5,5,25,0,4,0,16,1,4,1,0,0,1,0,2,7,0,0
opixgl,15,7,8,1,7,0,4,0,2,1,0,0,0,0,2,7,0,0
oprv5i,9,5,9,4,4,0,1,1,0,1,0,0,0,0,2,7,0,0
oprrur,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
oprpb1,3,8,9,0,4,0,8,0,0,0,0,0,0,0,0,8,0,0
oprnn8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oprlre,0,0,1,0,1,0,4,0,1,2,0,0,0,0,0,0,0,0
oprkib,30,1,12,1,5,2,8,2,3,2,0,2,0,0,6,0,0,0
opr2a1,19,3,9,2,9,2,3,0,1,0,0,0,0,1,0,0,0,0
opr0jf,11,1,5,1,8,0,1,0,0,0,2,1,0,0,0,0,0,0
opqti4,4,8,13,0,5,1,7,1,1,0,3,0,0,0,1,2,0,0
opqskz,12,3,2,0,3,0,7,0,0,1,0,1,0,0,1,0,0,0
opqdtu,3,8,9,0,4,0,8,0,0,0,0,0,0,0,0,8,0,0
opq9df,19,7,10,5,15,0,4,1,1,4,2,0,0,0,6,0,0,0
oppxrg,9,0,8,1,2,0,6,16,1,0,2,1,0,0,1,0,0,0
oq0acw,12,11,14,0,6,0,17,0,1,10,0,3,0,0,1,0,0,0
oq06ue,22,14,22,4,22,0,5,4,1,0,1,1,1,0,0,0,2,0
opzn32,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opzmwt,2,18,15,2,12,1,10,0,0,2,0,0,0,0,0,0,0,0
