id,DATE,CARDINAL,ORG,GPE,PERSON,FAC,NORP,ORDINAL,LOC,PERCENT,TIME,PRODUCT,MONEY,WORK_OF_ART,EVENT,LAW,QUANTITY,LANGUAGE
opo3w5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opoqa7,5,9,16,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0
oplcek,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opq7we,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opqths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opqtdn,3,1,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
oppm4n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opr721,5,3,5,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0
opqolg,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oprfph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opqxqp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opovwt,2,3,21,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0
opqm72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opxkqv,1,2,2,0,4,0,0,0,0,0,1,0,1,1,0,0,0,0
oprqvz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opyslx,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opv7xz,6,2,2,1,4,1,0,2,0,0,0,0,0,0,0,0,0,0
opy5d2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opzgjt,4,6,2,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0
opthe0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opsgsc,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opz6ob,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
opz0bb,27,3,15,5,0,0,0,1,0,12,1,0,13,0,0,0,0,0
oq07xt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opzflc,7,3,6,4,0,0,7,2,0,2,0,0,0,0,0,0,0,0
opxzop,11,4,21,2,9,1,0,1,0,2,0,3,9,0,0,0,0,0
opzvni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opzuui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opxc4z,6,9,2,0,0,0,0,3,0,7,0,0,4,0,0,0,0,0
opu7un,4,1,13,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
opw70z,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
opxi03,3,2,2,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1
opy4gq,10,2,10,1,4,0,0,2,0,4,1,0,9,1,0,0,0,0
opys68,1,0,8,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0
opzojy,2,2,5,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0
opypyz,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
opy5s3,8,2,8,0,2,0,0,2,0,6,1,1,9,0,0,0,0,0
opy2mf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opzc9q,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opzvcq,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
opzt43,2,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
opxya0,0,4,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
oq0f95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oq3b48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oq1p0b,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oq3s5n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oq4hpn,2,6,5,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0
oq5yz6,5,0,7,0,6,1,0,0,0,0,1,3,0,1,0,0,0,0
oq3xkl,3,3,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
oq4d20,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
oq33af,2,3,23,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0
oq5gy5,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oq6y2s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oq2naw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oq1q6w,2,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0
oq4jw2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oq62wr,1,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
oq55rq,4,1,4,1,2,0,1,1,0,0,0,0,1,0,0,0,0,0
oq6iuz,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oq3u3u,1,6,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0
oq5v7f,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oq5bvq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oq21gu,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
oq50e3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
oq6syk,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
oq1dh9,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0
oq6192,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
oq0ew6,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
oq4xpt,2,0,14,3,5,0,0,0,0,2,1,1,0,0,0,0,0,0
oq2er3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oq0m0v,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oq442k,1,10,14,1,14,0,0,2,0,0,2,2,0,1,0,0,0,0
oq19vi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oq0r4f,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oq4f2u,1,0,3,0,1,0,0,0,0,0,1,0,5,0,0,0,0,0
oq9zxj,7,5,18,3,13,0,1,2,0,1,1,0,4,1,0,0,0,0
oq6889,23,11,13,16,6,0,0,5,2,7,1,0,2,0,0,0,0,0
oq8amt,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oq84qq,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
oqc0pd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oq90s3,10,12,20,4,16,0,1,2,0,1,0,0,5,1,0,0,0,0
oq8r58,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oqaclq,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
oqc7d2,15,12,9,0,2,0,0,1,0,0,0,1,9,0,0,0,0,0
oq87ay,0,0,12,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
oq7hes,3,6,5,0,8,1,0,2,0,0,2,1,1,1,0,0,0,0
oqaxi0,1,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
oqc98g,3,2,7,0,8,0,0,0,0,0,2,2,4,2,0,0,0,0
oqdtbb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oq90mu,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oq7tx8,4,17,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
oq9uaq,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oqahj4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oqb5dz,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
oqdgm3,10,3,10,2,0,0,1,0,0,14,0,0,1,0,0,0,0,0
oqcq8m,5,3,9,0,1,0,1,0,0,2,0,0,2,0,0,0,0,0
oqe05x,4,3,9,0,4,1,0,2,0,0,1,3,1,0,0,0,0,0
oqdk6d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oqe9iy,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oqfdpn,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oqeed5,0,1,10,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
oqg12c,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
oqfku0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oqesg6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oqdroz,4,5,18,1,14,0,1,2,0,1,2,0,3,1,0,0,0,0
oqfgha,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
