id,FAC,DATE,CARDINAL,GPE,ORG,PERSON,TIME,WORK_OF_ART,ORDINAL,LOC,NORP,PRODUCT,MONEY,LAW,EVENT,PERCENT,QUANTITY,LANGUAGE
oqc85i,0,0,2,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0
oqdbq1,1,9,0,3,10,8,2,0,0,1,1,0,3,0,0,0,0,0
oqd4pw,0,5,14,10,7,2,0,0,3,0,0,0,0,0,0,1,0,0
oq8rup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oqd58j,0,4,1,8,6,16,0,0,1,0,1,4,0,0,0,0,0,0
oq9w1q,0,11,9,5,17,17,1,0,0,1,0,0,0,0,1,10,0,0
oq7o8b,0,20,20,9,12,16,0,0,0,1,0,4,0,0,0,4,0,1
oqbk8p,0,6,5,5,2,3,0,0,0,0,0,0,0,0,0,0,1,0
oqapet,0,9,2,2,12,4,0,0,0,0,0,1,1,0,0,4,0,0
oq505q,0,7,6,1,12,0,1,0,3,0,0,2,0,1,0,2,0,0
oqc4ul,0,5,4,29,7,12,1,1,2,0,5,0,0,0,0,0,0,0
oqeinm,0,2,4,7,4,8,0,0,0,0,0,0,0,0,0,2,0,0
oqeopv,0,9,0,5,3,6,0,0,0,1,0,0,1,0,0,0,0,0
oqdc78,0,4,0,1,10,9,0,0,0,0,0,1,1,0,0,0,0,0
oqdc4m,0,4,3,5,24,3,2,0,1,0,0,0,0,0,0,0,0,0
oqeyea,0,7,4,26,13,6,0,0,0,0,2,0,0,0,0,0,0,0
oqbzyw,0,9,2,14,18,9,0,0,0,0,2,0,0,0,0,1,0,0
oqk3yq,0,4,4,14,8,26,3,0,0,0,2,0,0,0,0,0,0,0
oqi1th,3,3,4,4,6,1,2,0,0,0,0,0,2,0,0,0,0,0
oqld5v,0,3,2,7,3,1,0,1,0,2,3,0,0,0,0,1,0,0
oqlfkb,0,7,2,10,7,4,0,0,0,0,3,0,0,0,0,0,0,0
oqk2r2,0,9,2,5,4,9,1,0,1,0,2,1,0,0,0,0,0,0
oqnr8r,0,8,2,11,2,2,0,0,1,0,0,0,0,0,0,2,0,0
oqgv9p,0,1,6,5,1,0,0,0,0,0,1,0,1,0,0,0,0,0
oqka5o,0,3,0,1,1,5,1,0,1,0,0,0,0,0,1,0,0,0
oqioqs,0,8,1,2,21,17,0,0,3,1,3,0,0,0,0,0,0,0
oqnbix,0,15,25,12,71,8,0,0,0,0,3,1,0,0,0,0,0,0
oqeztr,0,3,4,10,10,5,0,0,1,1,4,0,0,0,0,0,0,1
oqgmb2,0,8,4,14,3,10,0,0,1,2,6,0,0,0,0,0,0,0
oqotm5,0,4,2,11,9,2,0,3,0,1,0,0,0,0,0,2,3,0
oqs8fm,2,40,5,26,17,19,0,0,1,0,3,1,0,0,0,0,0,0
oqprsq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oqq3sx,0,9,2,24,16,16,0,0,0,1,25,0,0,0,2,0,0,0
oqt137,0,11,8,15,3,3,0,0,0,6,0,1,0,0,0,0,0,0
oqs12w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oqsvjd,0,7,9,30,12,1,0,0,3,10,1,1,0,0,0,0,9,0
oqrckr,0,37,15,35,7,10,1,0,6,0,4,0,0,1,0,1,0,0
oqs3ey,0,4,0,4,5,8,0,0,2,2,4,0,1,0,0,0,1,0
oqrebh,2,7,9,3,6,3,4,0,1,0,0,2,0,0,0,1,0,0
oqpbyh,2,19,4,9,11,27,0,2,0,0,0,0,3,0,0,0,2,0
oqqgwb,4,5,1,6,1,5,1,0,0,0,1,0,0,0,0,0,0,0
oqpg3n,0,6,7,18,1,3,2,2,0,1,1,1,0,0,0,0,0,0
oqqvsn,0,4,1,7,4,0,0,0,1,1,5,0,0,0,0,0,3,0
oqsrj3,0,6,6,1,5,5,0,0,0,0,0,0,9,0,0,0,0,0
oqtmno,1,1,0,2,1,4,0,0,0,0,0,1,0,0,0,0,0,0
oqp3sm,1,3,1,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0
oqtt9i,1,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
oqp4z3,1,2,3,2,2,6,0,0,1,0,0,0,0,0,1,0,0,0
oqwmiv,0,8,2,5,4,14,0,0,0,0,0,0,0,0,0,0,0,0
oqyjxr,0,13,7,7,9,10,1,0,1,0,0,0,0,0,0,2,0,0
oquflv,0,4,0,13,6,8,0,0,0,0,3,0,1,0,0,1,0,0
oqvbdb,0,15,7,14,20,15,1,2,0,0,7,2,0,0,0,1,0,0
oqwgt0,0,9,8,7,7,9,0,2,3,1,5,1,1,0,0,0,0,0
oqvo2q,0,5,4,3,6,6,0,0,0,8,0,2,1,0,0,0,0,0
oqxdtl,2,12,0,17,30,8,0,0,1,6,0,5,3,0,1,0,4,0
oqxwwy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oqxu5g,0,11,4,10,7,6,0,0,1,0,1,0,3,0,0,0,0,0
oqwa70,0,24,18,10,36,43,1,3,1,1,1,2,6,0,0,5,0,4
oqw7by,0,7,0,2,5,9,2,0,0,0,0,0,0,0,0,0,0,0
oqyp0o,1,3,13,6,11,4,2,0,0,0,1,0,0,0,0,4,0,0
oqymj9,2,12,13,12,17,2,0,0,2,0,1,0,2,0,0,2,0,0
oqz3te,1,15,7,10,4,7,2,0,0,4,0,2,0,0,0,0,0,0
oqwwdc,0,9,0,22,3,15,0,0,1,0,1,0,0,0,0,0,0,0
oqvbmg,3,18,16,24,11,7,1,0,1,4,0,1,0,0,0,1,9,0
oqzzxb,0,9,2,7,1,3,0,0,1,0,4,1,0,0,0,0,0,0
oqyz77,0,27,4,3,3,13,0,2,6,0,0,0,0,0,0,0,0,0
oquwh2,0,11,5,6,7,4,1,0,0,1,0,0,1,0,0,0,1,0
or0a18,0,9,1,2,8,20,0,1,2,0,0,0,0,0,0,0,0,0
or15iv,0,13,6,3,9,6,4,0,0,0,0,0,1,0,0,3,0,0
or1j1d,0,10,5,6,14,5,0,0,0,0,0,0,0,0,0,1,0,0
or0xck,0,5,1,5,4,6,1,0,0,0,1,1,0,0,0,0,0,0
oqzokn,0,14,8,2,2,10,1,0,1,0,2,2,1,0,0,0,1,0
or4qmo,0,5,4,1,17,11,0,0,1,0,0,2,0,0,0,0,0,0
or7x1k,0,5,3,7,10,5,1,0,0,0,2,0,0,0,0,0,0,0
or4syo,2,12,17,18,31,17,1,0,1,4,4,0,8,0,0,0,3,0
or2p0i,5,18,7,16,27,29,4,9,0,4,9,0,0,0,0,1,0,0
or4i9m,0,4,2,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0
or6v75,0,1,0,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0
or4aqf,0,7,3,8,7,2,2,0,0,0,0,0,0,0,0,0,2,0
or3q0v,0,22,13,16,13,10,0,0,1,2,1,2,1,0,0,0,0,0
or55ci,1,11,4,7,4,26,2,1,0,1,0,0,0,0,0,1,1,0
or8w4s,0,13,5,5,4,26,0,2,0,1,0,0,2,0,0,0,0,0
or8fhe,0,5,4,3,6,7,0,0,0,0,1,0,0,0,0,0,0,0
or3gwn,1,1,2,7,9,1,0,0,1,0,0,0,0,0,0,0,4,0
or3htd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
or8ex6,0,5,6,9,4,5,0,0,0,2,0,1,0,0,0,0,0,0
or9a5f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
or8wf7,1,34,19,42,22,23,1,3,6,5,19,0,3,0,0,0,0,0
or9zgi,1,9,1,10,11,0,1,1,0,0,0,0,0,0,0,0,0,0
orcq5l,0,2,10,10,6,0,0,0,1,0,0,0,0,0,0,0,0,0
ord7q2,0,1,4,1,6,4,0,1,1,0,0,0,0,0,0,1,0,0
or9ybm,0,29,14,28,15,11,1,0,1,8,4,0,0,0,0,0,10,0
ora18l,0,6,7,25,45,15,0,0,0,0,9,0,1,0,0,0,0,0
ore5jb,0,3,2,1,10,2,0,0,0,0,1,0,1,0,0,0,0,0
or9w34,2,7,4,3,2,1,5,1,0,0,0,0,0,0,0,0,0,0
orc5su,3,15,14,32,8,6,3,0,0,5,3,0,0,0,0,2,6,0
ordqy9,2,12,17,18,31,17,1,0,1,4,4,0,8,0,0,0,3,0
orf6r8,0,4,3,7,13,6,1,1,1,0,4,0,0,0,1,1,0,0
oreotr,0,1,1,6,10,7,0,0,3,0,3,0,0,1,0,2,0,0
orcv3t,1,7,2,3,7,1,1,0,0,1,1,0,0,0,0,0,0,0
orc922,0,14,10,16,15,11,0,0,0,0,3,0,0,0,0,0,0,0
orewui,0,12,2,6,26,13,0,1,3,2,3,0,0,0,0,8,0,0
orek41,0,8,4,2,20,1,2,2,5,7,0,1,0,0,0,0,8,0
ordc87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orbgc3,1,8,13,22,6,12,2,0,1,1,6,0,0,0,0,0,0,0
orc7y9,0,6,0,3,4,3,1,4,0,0,5,0,1,0,0,0,0,0
orawkz,0,9,19,10,5,7,0,0,1,2,0,5,0,0,0,0,0,0
orbo6d,0,5,0,16,2,7,0,0,0,2,4,0,0,0,1,0,0,0
orbt5k,0,14,9,32,25,11,0,0,0,0,5,0,2,0,0,7,0,0
orbp1r,0,4,3,4,3,0,2,0,0,0,0,2,0,0,0,0,0,0
orepr6,0,10,7,16,16,14,2,0,4,2,2,0,0,0,0,1,0,0
orhgt1,1,6,0,6,1,6,0,0,2,0,0,0,0,0,0,0,0,0
orfozu,0,2,4,5,3,2,0,0,0,0,2,0,0,0,0,0,0,0
orl644,2,14,9,7,14,4,0,0,3,3,0,0,6,2,0,3,0,0
orhvme,1,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
